"Date","Longitude","Latitude","Elevation","Max Temperature","Min Temperature","Precipitation","Wind","Relative Humidity","Solar"
"12/19/2013","-108.125","50.1127014160156","844","-14.304","-18.345","0.262641888","3.73367812285954","0.807451701306704","5.50913396796",
"12/20/2013","-108.125","50.1127014160156","844","-10.996","-15.54","0","3.34358469997109","0.835448014706659","5.45347145628",
"12/21/2013","-108.125","50.1127014160156","844","-15.785","-22.068","0.2128601232","2.69936644117267","0.818373083908269","5.2354095732",
"12/22/2013","-108.125","50.1127014160156","844","-21.283","-30.884","0.1956940344","2.81436728192543","0.777885415765938","5.295465135",
"12/23/2013","-108.125","50.1127014160156","844","0.968000000000018","-21.136","0.0205993584","7.64105426852259","0.876224976248","4.6677187296",
"12/24/2013","-108.125","50.1127014160156","844","0.649000000000001","-4.577","0.765609948","6.08250312064067","0.938197145187006","3.7475492976",
"12/25/2013","-108.125","50.1127014160156","844","0.0459999999999923","-4.92500000000001","0.1407623688","5.31443583463524","0.92582224945498","5.0742019476",
"12/26/2013","-108.125","50.1127014160156","844","1.67000000000002","-2.95100000000002","0.01373292","6.39966040087789","0.920253045015246","5.3024149116",
"12/27/2013","-108.125","50.1127014160156","844","1.88299999999998","-1.57900000000001","0.0017166132","4.49749896312447","0.908615976240633","5.00299241868",
"12/28/2013","-108.125","50.1127014160156","844","-0.588000000000022","-22.308","7.491302964","5.08069676938887","0.843816683995306","5.0076577188",
"12/29/2013","-108.125","50.1127014160156","844","-5.803","-21.839","1.4179234176","2.9243495796603","0.890054896236318","3.1460978772",
"12/30/2013","-108.125","50.1127014160156","844","-10.806","-19.215","2.017020348","3.18058188640125","0.868982156675411","4.0168349208",
"12/31/2013","-108.125","50.1127014160156","844","-10.318","-17.255","4.583360412","4.3051543885187","0.872024890574055","4.0283072784",
"1/1/2014","-108.125","50.1127014160156","844","-9.81200000000001","-23.484","0.7656100344","2.01940851689814","0.869331474856019","4.775087215188",
"1/2/2014","-108.125","50.1127014160156","844","1.46699999999998","-9.67599999999999","0.0755310096","5.38305245526345","0.93550231504303","5.348076642",
"1/3/2014","-108.125","50.1127014160156","844","1.618","-13.884","3.9138809904","6.91741035354605","0.956351120954987","2.2993600212",
"1/4/2014","-108.125","50.1127014160156","844","-15.571","-24.466","0.3124236744","6.48702402041251","0.793559259756453","5.4802285488",
"1/5/2014","-108.125","50.1127014160156","844","-25.15","-31.878","0.1373291424","5.55577659286739","0.730323557811756","6.1593974352",
"1/6/2014","-108.125","50.1127014160156","844","-5.50700000000001","-32.584","0.0171661392","3.24333242400431","0.801096913325258","4.3057284372",
"1/7/2014","-108.125","50.1127014160156","844","-8.81700000000001","-15.527","0.4755022344","2.77156686267301","0.901117854226032","4.9154635728",
"1/8/2014","-108.125","50.1127014160156","844","-0.685999999999979","-14.84","0.1424788452","6.22200559858287","0.933128685509555","4.6755612108",
"1/9/2014","-108.125","50.1127014160156","844","0.855000000000018","-5.029","0","4.07431302696393","0.918968680716649","5.76617379732",
"1/10/2014","-108.125","50.1127014160156","844","-1.24200000000002","-6.26799999999997","0.1424790864","5.18205339522137","0.926583193310378","5.9371055136",
"1/11/2014","-108.125","50.1127014160156","844","2.19600000000003","-6.34199999999998","1.16729712","8.03604274738146","0.928027601357079","3.29474895048",
"1/12/2014","-108.125","50.1127014160156","844","-0.291999999999973","-6.69900000000001","0.291824568","6.84947390650218","0.91805814883303","3.84677391528",
"1/13/2014","-108.125","50.1127014160156","844","1.36599999999999","-5.154","3.4143495552","7.60404715593311","0.928590311635072","4.15397411352",
"1/14/2014","-108.125","50.1127014160156","844","1.24000000000001","-4.90300000000002","1.2634276176","5.52952347532062","0.93819702732468","5.3438273406",
"1/15/2014","-108.125","50.1127014160156","844","2.22500000000002","-1.36500000000001","0.559616112","10.23688287942","0.949752894197612","6.0799261896",
